geoName,Xalfu,Period
Isparta Province,0.0,201801
Iğdır,0.0,201801
Kahramanmaraş Province,0.0,201801
Karabük,0.0,201801
Karaman,0.0,201801
Kars,0.0,201801
Kastamonu,0.0,201801
Kayseri Province,0.0,201801
Kilis,0.0,201801
Kocaeli,0.0,201801
Konya,0.0,201801
Kütahya,0.0,201801
Kırklareli,0.0,201801
Kırıkkale,0.0,201801
Kırşehir,0.0,201801
Malatya,0.0,201801
Manisa,0.0,201801
Mardin,0.0,201801
Mersin Province,0.0,201801
Muğla Province,0.0,201801
Muş,0.0,201801
Nevşehir,0.0,201801
Niğde,0.0,201801
Ordu,0.0,201801
Osmaniye,0.0,201801
Rize,0.0,201801
Sakarya,0.0,201801
Samsun,0.0,201801
Siirt Province,0.0,201801
Sinop Province,0.0,201801
Sivas,0.0,201801
Tekirdağ,0.0,201801
Tokat,0.0,201801
Trabzon,0.0,201801
Tunceli,0.0,201801
Uşak,0.0,201801
Van,0.0,201801
Yalova Province,0.0,201801
Yozgat,0.0,201801
Zonguldak,0.0,201801
Çanakkale Province,0.0,201801
Çankırı,0.0,201801
Çorum Province,0.0,201801
İstanbul,2.046511627906977,201801
İzmir,0.0,201801
Şanlıurfa Province,0.0,201801
Şırnak,0.0,201801
Adana,0.0,201802
Adıyaman Province,0.0,201802
Afyonkarahisar Province,0.0,201802
Aksaray,0.0,201802
Amasya Province,0.0,201802
Ankara,9.30232558139535,201802
Antalya,0.0,201802
Ardahan Province,0.0,201802
Artvin,0.0,201802
Aydın Province,0.0,201802
Ağrı,0.0,201802
Balıkesir Province,0.0,201802
Bartın Province,0.0,201802
Batman,0.0,201802
Bayburt,0.0,201802
Bilecik,0.0,201802
Bingöl Province,0.0,201802
Bitlis,0.0,201802
Bolu,0.0,201802
Burdur Province,0.0,201802
Bursa,0.0,201802
Denizli,0.0,201802
Diyarbakır,0.0,201802
Düzce Province,0.0,201802
Edirne,0.0,201802
Elazığ,0.0,201802
Erzincan,0.0,201802
Erzurum,0.0,201802
Eskişehir Province,0.0,201802
Gaziantep,0.0,201802
Giresun,0.0,201802
Gümüşhane,0.0,201802
Hakkâri,0.0,201802
Hatay,0.0,201802
Isparta Province,0.0,201802
Iğdır,0.0,201802
Kahramanmaraş Province,0.0,201802
Karabük,0.0,201802
Karaman,0.0,201802
