geoName,grip,Period
Artvin,0.46545454545454545,201901
Aydın Province,0.3490909090909091,201901
Ağrı,0.16,201901
Balıkesir Province,0.43636363636363634,201901
Bartın Province,0.48,201901
Batman,0.33454545454545453,201901
Bayburt,1.4545454545454546,201901
Bilecik,0.36363636363636365,201901
Bingöl Province,0.3490909090909091,201901
Bitlis,0.48,201901
Bolu,0.3781818181818182,201901
Burdur Province,0.5236363636363637,201901
Bursa,0.3927272727272727,201901
Denizli,0.5236363636363637,201901
Diyarbakır,0.26181818181818184,201901
Düzce Province,0.24727272727272728,201901
Edirne,0.32,201901
Elazığ,0.32,201901
Erzincan,0.7127272727272728,201901
Erzurum,0.23272727272727273,201901
Eskişehir Province,0.32,201901
Gaziantep,0.32,201901
Giresun,0.3781818181818182,201901
Gümüşhane,0.0,201901
Hakkâri,0.4509090909090909,201901
Hatay,0.3490909090909091,201901
Isparta Province,0.20363636363636364,201901
Iğdır,0.27636363636363637,201901
Kahramanmaraş Province,0.24727272727272728,201901
Karabük,0.3490909090909091,201901
Karaman,0.1890909090909091,201901
Kars,0.27636363636363637,201901
Kastamonu,0.3054545454545455,201901
Kayseri Province,0.26181818181818184,201901
Kilis,0.5963636363636363,201901
Kocaeli,0.3927272727272727,201901
Konya,0.2909090909090909,201901
Kütahya,0.3781818181818182,201901
Kırklareli,0.3927272727272727,201901
Kırıkkale,0.20363636363636364,201901
Kırşehir,0.23272727272727273,201901
Malatya,0.3054545454545455,201901
Manisa,0.2909090909090909,201901
Mardin,0.3781818181818182,201901
Mersin Province,0.3054545454545455,201901
Muğla Province,0.43636363636363634,201901
Muş,0.3490909090909091,201901
Nevşehir,0.46545454545454545,201901
Niğde,0.11636363636363636,201901
Ordu,0.3490909090909091,201901
Osmaniye,0.5381818181818182,201901
Rize,0.3781818181818182,201901
Sakarya,0.2909090909090909,201901
Samsun,0.4509090909090909,201901
Siirt Province,1.309090909090909,201901
Sinop Province,0.64,201901
Sivas,0.3054545454545455,201901
Tekirdağ,0.36363636363636365,201901
Tokat,0.36363636363636365,201901
Trabzon,0.4072727272727273,201901
Tunceli,1.3963636363636365,201901
Uşak,0.36363636363636365,201901
Van,0.23272727272727273,201901
Yalova Province,0.43636363636363634,201901
Yozgat,0.24727272727272728,201901
Zonguldak,0.23272727272727273,201901
Çanakkale Province,0.4072727272727273,201901
Çankırı,0.3490909090909091,201901
Çorum Province,0.43636363636363634,201901
İstanbul,0.3927272727272727,201901
İzmir,0.36363636363636365,201901
Şanlıurfa Province,0.21818181818181817,201901
Şırnak,0.2909090909090909,201901
Adana,0.9743589743589743,201902
Adıyaman Province,0.0,201902
Afyonkarahisar Province,1.0,201902
Aksaray,0.8974358974358975,201902
Amasya Province,0.6923076923076923,201902
Ankara,0.7948717948717948,201902
Antalya,0.7948717948717948,201902
Ardahan Province,2.3846153846153846,201902
Artvin,1.8205128205128205,201902
Aydın Province,0.7692307692307693,201902
Ağrı,1.0256410256410255,201902
Balıkesir Province,1.1025641025641026,201902
Bartın Province,0.0,201902
Batman,1.0,201902
Bayburt,2.5641025641025643,201902
Bilecik,0.7948717948717948,201902
Bingöl Province,1.641025641025641,201902
Bitlis,0.717948717948718,201902
Bolu,0.48717948717948717,201902
Burdur Province,0.9487179487179487,201902
Bursa,0.6666666666666666,201902
Denizli,0.6410256410256411,201902
Diyarbakır,0.46153846153846156,201902
Düzce Province,1.0769230769230769,201902
Edirne,0.5128205128205128,201902
Elazığ,0.7435897435897436,201902
Erzincan,1.205128205128205,201902
Erzurum,0.6410256410256411,201902
Eskişehir Province,1.1025641025641026,201902
